City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
153,anjozorobe,-18.4,47.8667,53.49,93,12,1.66,MG,1686448111
154,nizhniy odes,63.6445,54.856,35.71,80,100,13.18,RU,1686448111
155,guiuan,11.0333,125.7247,84.33,76,62,10.54,PH,1686448112
156,kingsland,30.8,-81.6898,77.92,90,46,2.93,US,1686448112
157,port alfred,-33.5906,26.891,57.45,61,0,10.33,ZA,1686448112
158,tadine,-21.55,167.8833,73.72,52,1,11.25,NC,1686448112
159,akjoujt,19.6969,-14.4164,89.56,24,5,16.78,MR,1686448039
160,quelimane,-17.8786,36.8883,67.91,93,0,5.01,MZ,1686448113
161,gerash,27.6652,54.1371,77.14,23,0,2.46,IR,1686448113
162,necochea,-38.5473,-58.7368,46.65,73,84,16.53,AR,1686448037
163,prince rupert,54.3161,-130.3201,57.29,79,0,19.57,CA,1686448114
164,polyarnyy,69.1989,33.4478,45.55,70,100,3.85,RU,1686448114
165,utrik,11.2278,169.8474,82.2,79,98,16.26,MH,1686448066
166,nuku'alofa,-21.1333,-175.2,75.54,69,75,4.61,TO,1686448082
167,afaahiti,-17.75,-149.2833,80.47,71,12,13.02,PF,1686448115
168,simao dias,-10.7383,-37.8111,69.91,96,86,3.76,BR,1686448115
169,moyynkum,44.2914,72.9469,75.65,51,10,18.21,KZ,1686448116
170,nantucket,41.2835,-70.0995,57.99,88,0,9.22,US,1686448117
171,palikir - national government center,6.9248,158.1611,92.14,55,100,5.75,FM,1686448071
172,chibougamau,49.9168,-74.3659,55.02,94,100,3.44,CA,1686448119
173,al ghayzah,16.2079,52.176,83.59,76,100,2.55,YE,1686448119
174,lata,40.1629,-8.3327,60.08,96,6,2.17,PT,1686448120
175,kodiak,57.79,-152.4072,45.91,87,100,21.85,US,1686448121
176,haiku-pauwela,20.9219,-156.3051,84.22,45,20,23.02,US,1686448121
177,yashan,22.1975,109.9419,85.55,76,55,4.5,CN,1686448122
178,miura,35.14,139.6192,70.84,94,100,6.29,JP,1686448122
179,"laikit, laikit ii (dimembe)",1.4792,124.9735,85.05,66,20,5.75,ID,1686448122
180,quartu sant'elena,39.2419,9.1839,71.04,82,0,13.0,IT,1686447975
181,bondoukou,8.0333,-2.8,70.93,98,100,6.13,CI,1686448122
182,revda,56.801,59.9303,44.47,86,99,6.58,RU,1686448123
183,antonio enes,-16.2325,39.9086,71.74,85,0,1.43,MZ,1686448123
184,mahibadhoo,3.7833,72.9667,84.06,76,66,13.67,MV,1686448124
185,eraan,9.0629,117.7016,88.57,64,51,7.23,PH,1686448125
186,olyokminsk,60.3736,120.4264,84.22,30,100,6.8,RU,1686448125
187,brioude,45.1667,3.4167,56.23,97,2,1.88,FR,1686448125
188,wajir,1.7471,40.0573,75.11,77,81,15.01,KE,1686448125
189,carnarvon,-24.8667,113.6333,69.78,54,0,11.48,AU,1686448057
190,nova sintra,14.8667,-24.7167,71.83,80,20,18.12,CV,1686448126
191,emirdag,39.0197,31.15,61.66,80,100,1.68,TR,1686448127
192,quellon,-43.1167,-73.6167,39.45,93,0,0.0,CL,1686448127
193,lincoln city,44.9582,-124.0179,69.87,74,15,21.0,US,1686447959
194,novoorsk,51.381,58.9813,61.45,43,75,6.24,RU,1686448127
195,susuman,62.7833,148.1667,68.52,41,16,6.44,RU,1686448128
196,mar del plata,-38.0023,-57.5575,44.1,90,75,4.0,AR,1686448077
197,diamantino,-14.4086,-56.4461,75.9,55,32,4.99,BR,1686448129
198,turuntayevo,52.2,107.6167,71.69,25,17,3.02,RU,1686448129
199,yongchuan,29.3514,105.8947,81.37,61,100,0.87,CN,1686448130
200,funadhoo,6.15,73.2667,83.71,79,100,15.73,MV,1686448130
201,alice springs,-23.7,133.8833,67.21,22,100,8.05,AU,1686448131
202,semirom,31.4167,51.5667,58.64,43,0,1.81,IR,1686448132
203,kitimat,54.0524,-128.6534,75.58,49,34,8.01,CA,1686448061
204,invercargill,-46.4,168.35,51.58,87,67,4.43,NZ,1686448132
205,merizo village,13.2658,144.6691,87.53,86,34,11.21,GU,1686447926
206,floro,61.5996,5.0328,58.96,67,100,10.36,NO,1686447892
207,kollam,8.8833,76.6,80.83,82,99,8.95,IN,1686448135
208,new norfolk,-42.7826,147.0587,60.93,61,68,6.42,AU,1686448070
209,kone,-21.0595,164.8658,78.69,44,0,6.24,NC,1686448135
210,cidade velha,14.9167,-23.6167,77.47,69,0,16.11,CV,1686448136
211,balabac,7.9868,117.0645,86.18,70,91,10.83,PH,1686448139
212,stephenville,32.2207,-98.2023,84.15,65,0,3.44,US,1686447929
213,chilecito,-29.1619,-67.4974,48.11,45,0,5.57,AR,1686448140
214,okap,19.7578,-72.2042,82.92,76,25,1.59,HT,1686448140
215,katsuura,35.1333,140.3,74.68,87,100,7.02,JP,1686448140
216,gadzhiyevo,69.2551,33.3362,45.0,69,100,3.78,RU,1686448088
217,ha'il,27.5219,41.6907,84.22,26,0,9.22,SA,1686447990
218,corner brook,48.9667,-57.9484,44.76,99,100,3.89,CA,1686447872
219,pangody,65.85,74.4859,48.15,76,100,20.58,RU,1686448142
220,rongelap,11.1635,166.8941,81.86,82,100,16.44,MH,1686448144
221,guerrero negro,27.9769,-114.0611,64.08,69,0,15.86,MX,1686448144
222,georgetown,5.4112,100.3354,85.93,84,20,2.3,MY,1686448100
223,sao joao da barra,-21.6403,-41.0511,72.81,92,1,11.07,BR,1686448145
224,greenville,35.6127,-77.3663,73.42,48,0,9.22,US,1686448065
225,san patricio,28.017,-97.5169,87.66,78,1,14.88,US,1686448146
226,punta del este,-34.9667,-54.95,55.51,56,75,16.11,UY,1686448146
227,niafunke,15.9322,-3.9906,90.81,34,98,12.19,ML,1686448146
228,taoudenni,22.6783,-3.9836,92.43,14,0,15.28,ML,1686448147
229,dudinka,69.4058,86.1778,43.63,42,67,9.82,RU,1686448147
230,ikom,5.9667,8.7063,73.89,98,100,0.94,NG,1686448147
231,chonchi,-42.6128,-73.8092,39.11,91,57,2.62,CL,1686448030
232,cururupu,-1.8283,-44.8683,74.14,98,22,3.24,BR,1686448148
233,tando muhammad khan,25.123,68.5358,84.99,72,2,14.09,PK,1686448148
234,masterton,-40.9597,175.6575,53.89,63,81,1.07,NZ,1686448148
235,saint-louis,16.3333,-15.0,96.26,17,29,20.09,SN,1686448149
236,maryborough,-25.5333,152.7,71.78,53,89,8.9,AU,1686448149
237,kuqa,41.7278,82.9364,89.38,14,99,4.0,CN,1686448149
238,vila franca do campo,37.7167,-25.4333,61.21,81,31,7.78,PT,1686448077
239,arkhangel'sk,64.5401,40.5433,41.25,74,91,5.01,RU,1686448150
240,akyurt,40.1351,33.0861,60.13,88,40,3.44,TR,1686448150
241,hammerfest,70.6634,23.6821,50.45,50,98,3.44,NO,1686448150
242,kapa'a,22.0752,-159.319,84.18,74,20,12.66,US,1686448151
243,pingliang,35.5392,106.6861,82.33,28,100,4.61,CN,1686448028
244,tyuratam,45.6507,63.3156,76.05,23,4,13.38,KZ,1686448151
245,bonthe,7.5264,-12.505,79.47,84,98,5.84,SL,1686448151
246,kawalu,-7.3817,108.2082,78.26,76,44,3.71,ID,1686448051
247,bikenibeu village,1.3673,173.1241,89.56,70,20,10.36,KI,1686448152
248,hawaiian paradise park,19.5933,-154.9731,81.91,70,0,9.22,US,1686448152
249,tafuna,-14.3358,-170.72,85.95,84,40,6.91,AS,1686448152
250,de aar,-30.6497,24.0123,43.45,57,0,4.36,ZA,1686448153
251,weno,7.4515,151.8468,85.95,79,100,2.3,FM,1686448153
252,inongo,-1.95,18.2667,68.18,94,98,2.24,CD,1686448153
253,aral,40.5156,81.2636,89.62,11,98,4.38,CN,1686448154
254,toliara,-23.35,43.6667,66.51,89,0,5.68,MG,1686448154
255,saint-francois,46.4154,3.9054,63.84,94,0,1.14,FR,1686448154
256,brookings,44.3114,-96.7984,71.6,68,40,16.11,US,1686448155
257,corumba,-19.0092,-57.6533,72.64,65,0,1.52,BR,1686448155
258,kibaya,-5.3,36.5667,52.16,97,31,3.02,TZ,1686448155
259,khandyga,62.6667,135.6,73.94,35,89,3.42,RU,1686448155
260,ghanzi,-21.5667,21.7833,56.26,28,0,7.65,BW,1686448156
261,awjilah,29.1081,21.2869,75.92,37,26,3.11,LY,1686448156
262,sao felix do xingu,-6.6447,-51.995,75.33,82,56,2.01,BR,1686448156
263,dryden,49.7833,-92.7503,62.89,39,0,10.36,CA,1686448156
264,adirampattinam,10.35,79.4,87.01,61,74,6.49,IN,1686448157
265,vadso,70.0744,29.7487,45.48,81,96,8.05,NO,1686447991
266,margherita di savoia,41.3742,16.1502,66.92,78,86,8.48,IT,1686448157
267,jalai nur,49.45,117.7,67.14,51,6,6.71,CN,1686448158
268,dwarka,22.2394,68.9678,84.81,75,43,19.39,IN,1686448159
269,vigan,17.5747,120.3869,79.65,91,100,22.17,PH,1686448159
270,ishinomaki,38.4167,141.3,68.0,94,100,5.08,JP,1686448160
271,rice lake,45.5061,-91.7382,60.48,85,40,17.27,US,1686448161
272,tsiombe,-25.3,45.4833,63.23,95,0,4.65,MG,1686448162
273,walvis bay,-22.9575,14.5053,53.1,93,0,4.61,NA,1686448047
274,saudarkrokur,65.7461,-19.6394,41.7,76,13,17.76,IS,1686448163
275,port hedland,-20.3167,118.5667,77.05,31,75,6.91,AU,1686448052
276,yellowknife,62.456,-114.3525,66.72,68,100,4.61,CA,1686448163
277,tan-tan,28.438,-11.1032,66.07,88,0,8.25,MA,1686448164
278,st. john's,47.5649,-52.7093,47.97,95,100,12.66,CA,1686448164
279,saint john,45.2727,-66.0677,51.03,93,75,5.75,CA,1686448033
280,bethanie,-26.4833,17.15,50.29,21,0,4.43,NA,1686448165
281,natal,-5.795,-35.2094,75.85,100,20,6.91,BR,1686448166
282,enewetak,11.3474,162.3373,82.22,81,100,16.28,MH,1686448166
283,fort bragg,35.139,-79.006,78.53,43,0,6.91,US,1686448009
284,san carlos de bariloche,-41.1456,-71.3082,29.95,64,20,4.61,AR,1686448167
285,portland,45.5234,-122.6762,74.52,58,20,10.36,US,1686447462
286,idrinskoye,54.3708,92.1358,55.62,83,100,9.62,RU,1686448169
287,inarajan village,13.2736,144.7484,88.39,86,32,11.12,GU,1686448170
288,makinsk,52.6292,70.4169,63.09,48,0,1.48,KZ,1686448170
289,lucapa,-8.4192,20.7447,74.8,40,100,3.53,AO,1686448170
290,tonghae,37.5439,129.1069,69.89,79,20,4.79,KR,1686448171
291,hotan,37.0997,79.9269,84.18,16,3,6.58,CN,1686448034
292,yenotayevka,47.2456,47.0281,70.52,40,90,10.96,RU,1686448172
293,uvira,-3.4067,29.1458,71.62,74,54,3.36,CD,1686448172
294,sakaiminato,35.55,133.2333,73.38,88,75,5.75,JP,1686448172
295,el nido,11.1858,119.3956,83.88,79,100,14.25,PH,1686448174
296,queenstown,-31.8976,26.8753,43.39,61,0,7.09,ZA,1686448174
297,ar rutbah,33.0381,40.2848,73.22,53,0,6.51,IQ,1686448175
298,pulandian,39.3953,121.9669,71.31,58,55,8.7,CN,1686448175
299,keflavik,64.0049,-22.5624,46.31,70,75,19.57,IS,1686448031
300,as sulayyil,20.4607,45.5779,84.45,13,2,3.56,SA,1686448058
301,kharovsk,59.9642,40.1912,37.24,71,8,2.71,RU,1686448177
302,san antonio de pale,-1.4014,5.6325,77.54,79,100,11.7,GQ,1686448177
303,badagry,6.4167,2.8833,77.4,89,100,8.72,NG,1686448177
304,timimoun,29.2639,0.231,80.98,9,0,2.3,DZ,1686448178
305,ta`u,-14.2336,-169.5144,82.6,77,69,11.3,AS,1686448178
306,cheongsong gun,36.4335,129.057,80.06,53,18,2.35,KR,1686448178
307,horta,38.5333,-28.6333,60.03,77,34,5.01,PT,1686448178
308,severo-yeniseyskiy,60.3725,93.0408,45.37,50,13,10.11,RU,1686448179
309,jayapura,-2.5333,140.7,87.19,66,91,5.12,ID,1686448179
310,chilca,-12.5211,-76.7372,66.92,83,96,8.84,PE,1686448180
311,alofi,-19.0595,-169.9187,78.69,89,24,5.75,NU,1686448180
312,northam,51.0333,-4.2167,59.61,92,24,2.66,GB,1686448180
313,cooper's town,26.8667,-77.5167,81.52,76,0,6.62,BS,1686448181
314,santa rosalia,27.3167,-112.2833,82.31,33,0,3.89,MX,1686448181
315,ust'-ilimsk,58.0006,102.6619,61.99,72,100,10.65,RU,1686448181
316,arteche,12.2645,125.4048,85.28,67,100,6.06,PH,1686448182
317,buala,-8.145,159.5921,85.28,71,57,7.9,SB,1686448182
318,meadow lake,34.8014,-106.5436,85.24,18,36,11.27,US,1686448182
319,puerto aysen,-45.4,-72.7,35.2,97,100,4.85,CL,1686448183
320,franklin,39.9667,-83.0166,77.04,46,0,4.61,US,1686447913
321,belmonte,-15.8631,-38.8828,73.76,87,19,4.97,BR,1686448184
322,berriane,32.8265,3.7669,83.21,25,0,14.54,DZ,1686448184
323,jijiga,9.35,42.8,62.38,88,95,10.6,ET,1686448184
324,ginir,7.1333,40.7,57.97,87,90,3.94,ET,1686448185
325,kolonia town,6.964,158.206,93.2,55,100,5.75,FM,1686448185
326,yarmouth,41.7057,-70.2286,60.85,90,0,4.0,US,1686448109
327,kendari,-3.945,122.4989,77.81,92,100,1.41,ID,1686448077
328,benalla,-36.55,145.9833,53.29,64,11,4.14,AU,1686448186
329,qaqortoq,60.7167,-46.0333,39.99,69,100,2.06,GL,1686448187
330,paramaribo,5.8667,-55.1667,79.05,91,13,6.89,SR,1686448187
331,luganville,-15.5333,167.1667,77.13,81,99,11.88,VU,1686448187
332,anadyr,64.75,177.4833,41.5,75,75,15.66,RU,1686448027
333,ceeldheer,3.8488,47.1806,77.54,86,100,15.64,SO,1686448038
334,callao,-12.0667,-77.15,71.89,73,100,12.66,PE,1686448188
335,illizi,26.4833,8.4667,91.2,15,3,7.78,DZ,1686448189
336,cooma,-36.2333,149.1333,52.45,48,0,3.69,AU,1686448189
337,constantia,44.1833,28.65,61.7,84,78,6.24,RO,1686447902
338,namibe,-15.1961,12.1522,66.65,71,100,9.82,AO,1686448190
339,chabahar,25.2919,60.643,83.26,81,100,10.96,IR,1686448190
340,grand falls-windsor,48.9332,-55.6649,40.5,93,100,8.01,CA,1686448033
341,yeppoon,-23.1333,150.7333,73.18,67,87,9.93,AU,1686448073
342,antofagasta,-23.65,-70.4,63.68,83,61,5.39,CL,1686448045
343,san juan,-31.5375,-68.5364,47.43,28,0,11.52,AR,1686448148
344,khanty-mansiysk,61.0042,69.0019,51.91,100,40,8.99,RU,1686448193
345,cidreira,-30.1811,-50.2056,62.49,89,100,18.57,BR,1686448193
346,yaren,-0.5472,166.916,84.06,73,72,13.04,NR,1686448074
347,karasburg,-28.0167,18.75,49.08,26,0,2.8,NA,1686448194
348,hampton bays,40.869,-72.5176,65.07,86,0,3.44,US,1686448195
349,dauphin,51.1494,-100.0502,68.14,37,0,5.75,CA,1686448195
350,mil'kovo,55.6078,37.7956,46.89,73,100,7.65,RU,1686448196
351,mugia,43.1041,-9.2179,58.15,90,75,5.95,ES,1686448196
352,baruun-urt,46.6806,113.2792,66.43,48,44,14.74,MN,1686448197
353,wakkanai,45.4094,141.6739,62.58,77,75,11.5,JP,1686448197
354,nemuro,43.3236,145.575,53.37,93,100,6.42,JP,1686448197
355,nuuk,64.1835,-51.7216,52.41,35,100,52.93,GL,1686448197
356,geraldton,-28.7667,114.6,61.21,94,75,6.91,AU,1686448051
357,chui,-33.6971,-53.4616,49.91,59,82,7.81,UY,1686448057
